23637,CAÑA OMOTO TROUT 1.80,,17.82,43,1,963208541.8,9999,9999
23638,CAÑA OMOTO TROUT 1.95,,18.48,45,1,963208542,9999,9999
23639,CAÑA OMOTO BLACK MAGIC 1.90,,27,65,1,963208551.9,9999,9999
23640,CAÑA OMOTO GREEN RIVER 2.35,,47.61,115,1,963208562.4,9999,9999
23641,CAÑA OMOTO TELECUSTOM 2.40,,17.81,43,1,963208572.4,9999,9999
23642,HILO SUFIX HERCULINE 020MM,,13.35,33,1,26732097125LB,9999,9999
23643,HILO SUFIX HERCULINE 022MM,,13.35,33,1,26732097128LB,9999,9999
23644,HILO SUFIX HERCULINE 024MM,,13.35,33,1,26732097130LB,9999,9999
23645,LINEA MOSCA    SUFIX LEAD CORE 18LB,,25.49,62,1,40632097518LB,9999,9999
23646,LINEA MOSCA    SUFIX LEAD CORE 27LB,,31.9,77,1,40632097527LB,9999,9999
23647,LINEA MOSCA    SUFIX LEAD CORE 36LB,,32.21,78,1,40632097536LB,9999,9999
23648,REEL OMOTO AVLON 3000,,26.49,64,1,6.64E+12,9999,9999
23649,REEL OMOTO AVALON 5000,,29.73,72,1,6.64E+12,9999,9999
23650,REEL OMOTO DST 300HL,,48.8,118,1,664320866OMOT,9999,9999
23651,REEL OMOTO CHIEF 6000 CSM,,98.95,238,1,6.64E+12,9999,9999
23652,REEL OMOTO CERVEZA 103A,,59.5,143,1,664320868103A,9999,9999
23653,REEL RELIX PARAGON 25,,24.53,59,1,6643210080,9999,9999
23654,REEL  RELIX PARAGON 30,,24.66,60,1,6643210080,9999,9999
23655,REEL RELIX EMERALD 750,,21.83,53,1,6.64E+11,9999,9999
23656,CUCHARAS       LUHR-JENSEN DIAMOND KING,,5.91,15,1,156322405DIAM,9999,9999
23657,CUCHARAS       LUHR-JENSEN KROC.1003-058,,5.18,13,1,14282240220GR,9999,9999
23658,CUCHARAS       LUHR-JENSEN KROC.1018-012,,5.52,14,1,15632240612GR,9999,9999
23659,CUCHARAS       LUHR-JENSEN KROC.1018-014,,4.69,12,1,15632240610GR,9999,9999
23660,CUCHARAS       LUHR-JENSEN KROC.1018-034,,6.86,17,1,15632240625GR,9999,9999
23661,CUCHARAS       LUHR-JENSEN KROC.1018-038,,5.27,13,1,15632240615GR,9999,9999
23662,CUCHARAS       LUHR-JENSEN KROC.1018-058,,5.94,15,1,15632240620GR,9999,9999
23663,SEÑUELOS       S.PRO EG-068 MAGIC MINNOW,,6.12,15,1,6983208208.5.,9999,9999
23664,CAÑA           GREY GULL BLACKFLEX 905,,51.52,124,1,96221296905,9999,9999
23665,LEADER         GREY GULL 12 PIES,,1.65,4,1,39732129012FT,9999,9999
23666,LINEA MOSCA    GREY GULL HIGH QUALITY,,12.25,30,1,406321205GULL,9999,9999
23667,LINEA MOSCA    GREY GULL PREMIUM QUALITY,,28.4,69,1,406321206GULL,9999,9999
23668,LINEA MOSCA    GREY GULL PREMIUM DI5/7,,28.4,69,1,406321207GULL,9999,9999
23669,LINEA MOSCA    GREY GULL PREMIUM ST6/7/8,,23.5,57,1,406321208GULL,9999,9999
23670,LINEA MOSCA    GREY GULL DFS300/DFS400,,31.5,76,1,406321209GULL,9999,9999
23671,ACC.PESCA      KIT 8202 ATADO MOSCA,,10.9,27,1,008321142GALA,9999,9999
23672,ACC.PESCA      KIT 8205 ATADO MOSCA,,25.32,61,1,008321143GALA,9999,9999
23673,REEL           GREY GULL GG AL2,,50.96,123,1,6643212865-7.,9999,9999
23674,REEL           GREY GULL SERIE D 6/8,,38.14,92,1,6643212876-8.,9999,9999
23675,REEL           GREY GULL SERIE A 4/6,,83.01,200,1,6643212884-6.,9999,9999
23676,REEL           GREY GULL SERIE A 7/8,,89.42,215,1,6643212887-8.,9999,9999
23677,CARRETE        GREY GULL SERIE A 4/6,,56,135,1,1073212814-6.,9999,9999
23678,CARRETE        GREY GULL SERIE A 7/8,,60.2,145,1,1073212817-8.,9999,9999
23679,REEL           STH MR POP 3.0,,30.84,75,1,664320938STH.,9999,9999
23680,GORRO          DAGO CARIBE C/CUBRE NUCA,,13.19,32,1,212320901DAGO,9999,9999
23681,SOMBRERO       DAGO SAFARI ALA ANCHA,,8.33,20,1,714320902DAGO,9999,9999
23682,CHALECO    VB  RAPALA NEW 22002-1,,57.38,138,1,156320661CXS.,9999,9999
23683,CHALECO    VB  RAPALA NEW 22002-1,,57.38,138,1,156320661M...,9999,9999
23684,CHALECO    VB  RAPALA NEW 22002-1,,57.38,138,1,156320661L...,9999,9999
23685,CHALECO    VB  RAPALA NEW 22002-1,,57.38,138,1,156320661XL..,9999,9999
23686,CUCHILLO       RAPALA FNC6,,13.17,32,1,158320655FNC6,9999,9999
23687,TANZA          SUFIX XL STRONG 0.35 MM,,2.4,6,1,7217209710,9999,9999
23688,LINEA TIPPET   SUPER SUFIX 6X 3.5LBS,,2.76,7,1,400709705SU6X,9999,9999
23689,LINEA TIPPET   SUFIX FLUORO CARBON,,6,15,1,406320981SUFI,9999,9999
23690,CORTAPLUMAS    VICTOR.0.6201 TOMO 5 USOS,,12,29,1,1.48E+12,9999,9999
