ID,NOMBRE,DESCRIPCION,COSTO,PRECIO,FK_MON,CODIGO,FK_PROV,FK_MARCA
1,MASCARA        MASQUE  U.S.A.,,47.5,95,2,5250,9999,9999
2,TAPONES OIDO   OTOSAN,,4,0,2,7370,9999,9999
3,SKI.KA    1.70 DYNASTAR TEMPO,,47.5,95,2,6871,9999,9999
4,SKI.A          ATOMIC / VOLKL,,60,120,2,6875,9999,9999
5,BOTA.D    4    KOFLACH CE 190 L,,37.5,75,2,1901,9999,9999
6,SALVAVIDAS     ATUNAS (CINTURA),,15,30,2,6482,9999,9999
7,PORTA SKI      CANDADO COLLINS,,75,150,1,5681,9999,9999
8,GORROS     I   VARIOS OFERTA,,11.5,50,2,4858,9999,9999
9,VINCHA         SPOER BAND C/OREJERAS,,7.5,15,2,7535,9999,9999
10,AAAA           CARGA,,600,0,1,7987,9999,9999
11,GORROS     I   OUTSIDE (PAÑO),,97,195,2,4815,9999,9999
12,PORTA BOTAS    ALL-SHOP,,75,150,2,5680,9999,9999
13,PROTECTOR      RAYITO DE SOL,,6,12,2,3400,9999,9999
14,BOTA APRESKI C VARIAS,,15,75,2,1532,9999,9999
15,MEDIAS     IL  WIGWAM WYOMING,,19,38,2,5318,9999,9999
16,ENTERITO   B   NEVICA BOLAN 12,,75,150,2,4515,9999,9999
17,GORROS     I   SCI CORDEROY,,15,30,2,4836,9999,9999
18,POLERAS    C   BORDADA,,75,150,2,5629,9999,9999
19,VINCHA         FILA,,11.5,23,1,7515,9999,9999
20,REDONDEO,,0.08,0,1,7994,9999,9999
21,INSTALACION,,0,22,1,7993,9999,9999
22,TALLER,,1,35,1,7992,9999,9999
23,REPUES.Y REPA. VARIAS,,122.27,85,1,7990,9999,9999
24,GORROS     I   POLAR,,15,30,1,4820,9999,9999
25,PPANTALON  LA  SCHOELLER FUSEAU,,75,150,1,5822,9999,9999
26,VENTAS      USADOS,,0,0,1,7998,9999,9999
27,DESCUENTOS     VENTAS,,0,0,1,7991,9999,9999
28,PPJARDINERO TA NEVICA HOUSTON F 11,,147.5,295,2,6061,9999,9999
29,GUANTES    B   NORDICA 751/710/S3078,,47.5,95,2,5000,9999,9999
30,BOTA.YB  300   SALOMON SX 62 L,,50,90,2,3117,9999,9999
31,POLERAS    B   LAYER ONE,,90,180,2,5601,9999,9999
32,BOTA APRESKI B BONIS,,28,75,2,1531,9999,9999
33,GUMANOPLA  J   GATE,,22.5,45,2,5091,9999,9999
34,ACC.NAUTICO    QUILLA PLASTICA RIOSKI,,4,7,1,6345,9999,9999
35,PPANTALON  LA  OBERMEYER/SKI & CO TUBO,,75,150,2,5821,9999,9999
36,POLERAS    C   SUPPLY,,90,180,2,5640,9999,9999
37,PASAMONTAÑAS   GATOR THERMAX,,15,30,2,5465,9999,9999
38,PPJARDINERO TJ OBERMEYER ZONED 8/18,,147.5,295,1,6111,9999,9999
39,ENTERITO   B   NORDICA 120,,75,150,2,4521,9999,9999
40,PPANTALON  SB  NORDICA STRECH 165,,19,38,2,5857,9999,9999
41,GORROS     I   POLAR C/VISERA,,15,30,2,4821,9999,9999
42,ANTIPARRA      VUARNET,,447.5,895,1,390,9999,9999
43,GUANTES    PA  NORTHLITE POLAR,,27.5,0,2,5004,9999,9999
44,AAAAT          CARGA TECNICA,,0,0,1,7986,9999,9999
45,CAMPERA    J   K-WAY C/ESCOCES 8 - 14,,197.5,395,2,4148,9999,9999
46,CALZA      J   SEDA,,37.5,75,2,6455,9999,9999
47,CAMISETA   C   SEDA,,37.5,75,2,6440,9999,9999
48,SKI.LA    1.75 KASTLE CORA,,115,230,2,6890,9999,9999
49,PPANTALON  SA  NORDICA FUSEAU 495/550/73,,75,150,2,5856,9999,9999
50,BUZO       C   OUTSIDE VERMONT,,447.5,895,2,3524,9999,9999
51,ENTERITO   A   COLUMBIA CRITERION SUIT,,75,150,2,4460,9999,9999
52,POLERAS    B   CONTE 42901 VIOLETA,,90,180,2,5600,9999,9999
53,PPJARDINERO SA CONTE 54538 TOUSOU,,37.5,75,2,6010,9999,9999
54,JUEGO          PING-PONG RED,,30,60,1,5170,9999,9999
55,PALETA         PING-PONGDISNEY SCHILDKRO,,60,120,1,5410,9999,9999
56,PPANTALON  VC  OFERTAS VARIOS,,75,150,2,5985,9999,9999
57,GORROS     I   SILVY AB 065/018,,15,30,2,4844,9999,9999
58,GORROS     I   CONTE,,15,30,1,4730,9999,9999
59,GUANTES    PC  CONTE 81541 / 81721,,15,30,2,5026,9999,9999
60,POLERAS    B   MASER PROMOCION 4290,,90,180,2,5612,9999,9999
61,POLERAS    A   MASER PROMOCION 3292,,90,180,2,5597,9999,9999
62,POLERAS    A   MASER 3215,,75,150,2,5595,9999,9999
63,POLERAS    A   MASER 3229/3243,,90,180,2,5596,9999,9999
64,BUZO       C   KILLER LOOP 833,,115,230,2,3499,9999,9999
65,ENTERITO   A   NORDICA A4 400,,75,150,2,4480,9999,9999
66,GORROS     I   CAPO 6578,,15,30,1,4703,9999,9999
67,GORROS     I   CAPO 5574,,15,30,1,4701,9999,9999
68,GORROS     I   CAPO 6663/7121,,4,8,1,4704,9999,9999
69,GORROS     IJ  CAPO CAPELINA-C/VISERA,,15,30,1,4865,9999,9999
70,MEDIAS     IL  NORDICA,,15,30,2,5292,9999,9999
71,PPJARDINERO TB OBERMEYER ZONED,,115,230,2,6085,9999,9999
72,ANTEOJOS       K.L. SOUL -1288-1235-,,22.5,45,1,162,9999,9999
73,ANTEOJOS       K.L. MOMENTS-1291/92-TODO,,22.5,45,1,160,9999,9999
